s,m,C
Time,"Vis_HeadHeight","Temp_Ceiling"
 5.7306158E+001, 2.6361828E+000, 3.1159012E+002
 5.7603485E+001, 3.9865710E-001, 3.0355551E+002
 5.7900828E+001, 4.2901118E-001, 3.1150532E+002
 5.8203211E+001, 3.3600299E-001, 3.5116515E+002
 5.8502055E+001, 6.7179531E-001, 4.3569788E+002
 5.8801834E+001, 4.8685027E+000, 4.0295886E+002
 5.9104183E+001, 4.0869029E-001, 2.8805174E+002
 5.9401844E+001, 1.7017302E+000, 3.3758078E+002
 5.9702254E+001, 5.3153666E-001, 2.2841628E+002
 6.0002088E+001, 6.9969730E-001, 3.6876172E+002
 6.0301131E+001, 5.3456822E-001, 3.5415529E+002
 6.0606401E+001, 4.9369728E-001, 4.8086086E+002
 6.0904474E+001, 1.0239760E+000, 3.0227065E+002
 6.1207623E+001, 5.7591845E-001, 3.9415502E+002
 6.1501590E+001, 4.3170969E-001, 4.0417214E+002
 6.1807019E+001, 3.9122038E-001, 5.2824527E+002
 6.2104936E+001, 4.3588017E-001, 4.3062417E+002
 6.2401493E+001, 5.2828920E-001, 4.3381874E+002
 6.2703961E+001, 1.2002658E+000, 3.5713916E+002
 6.3002871E+001, 4.8093299E-001, 3.2918964E+002
 6.3304937E+001, 8.7838792E-001, 2.9137129E+002
 6.3601437E+001, 5.3138571E-001, 3.5796115E+002
 6.3904930E+001, 4.8877655E-001, 2.9017167E+002
 6.4204815E+001, 1.1084196E+000, 2.8654682E+002
 6.4500644E+001, 3.6165465E-001, 2.5054975E+002
 6.4804240E+001, 4.3593977E-001, 3.7529587E+002
 6.5103169E+001, 8.3642872E-001, 4.4975551E+002
 6.5404393E+001, 1.5643235E+000, 4.1739152E+002
 6.5703388E+001, 3.3242061E-001, 3.6984872E+002
 6.6005501E+001, 3.6459764E-001, 5.7203129E+002
 6.6300124E+001, 3.4325015E-001, 3.2745354E+002
 6.6605676E+001, 7.1096909E-001, 4.5592408E+002
 6.6905297E+001, 9.3254265E-001, 3.6250447E+002
 6.7203058E+001, 3.5478817E-001, 4.6544166E+002
 6.7503789E+001, 6.5102539E-001, 6.1053311E+002
 6.7800330E+001, 8.7888971E-001, 4.3852711E+002
 6.8102916E+001, 3.6593914E-001, 4.0048167E+002
 6.8402112E+001, 3.4714344E-001, 5.1602860E+002
 6.8706643E+001, 7.7780952E-001, 3.4040515E+002
 6.9004511E+001, 1.2849855E+000, 3.3020513E+002
 6.9300295E+001, 5.1689851E-001, 3.5271615E+002
 6.9600601E+001, 5.3630110E-001, 4.4341257E+002
 6.9905536E+001, 1.0062464E+000, 4.6227245E+002
 7.0201957E+001, 5.2618576E-001, 2.9754824E+002
 7.0500151E+001, 5.0106960E-001, 5.1316748E+002
 7.0803522E+001, 9.5353431E-001, 4.2895768E+002
 7.1102999E+001, 1.5364761E+000, 5.0922909E+002
 7.1402833E+001, 5.2470052E-001, 4.8791141E+002
 7.1704158E+001, 1.1232685E+000, 4.4847900E+002
 7.2007271E+001, 4.8797564E-001, 4.7522038E+002
 7.2302385E+001, 1.0415130E+000, 4.0128140E+002
 7.2601739E+001, 2.7559063E+000, 4.4088983E+002
 7.2905953E+001, 4.4922694E-001, 2.9648183E+002
 7.3205092E+001, 2.3217495E+000, 4.7563519E+002
 7.3503220E+001, 8.3223298E-001, 2.8663443E+002
 7.3803352E+001, 4.9888001E-001, 3.1055023E+002
 7.4104405E+001, 8.1820547E-001, 3.5707769E+002
 7.4403150E+001, 4.6525185E-001, 3.3157372E+002
 7.4702013E+001, 1.4836015E+000, 4.7886470E+002
 7.5002464E+001, 1.7391032E+000, 4.3128761E+002
 7.5300604E+001, 4.0787381E-001, 3.5805090E+002
 7.5608320E+001, 6.0626662E-001, 3.4468862E+002
 7.5902571E+001, 1.1249561E+000, 2.8577809E+002
 7.6201978E+001, 5.7392419E-001, 3.6460027E+002
 7.6505321E+001, 1.0765743E+000, 2.8098911E+002
 7.6805185E+001, 2.6223128E+000, 1.8775753E+002
 7.7102736E+001, 2.9103724E+000, 3.4717250E+002
 7.7406710E+001, 3.7948046E-001, 5.5033528E+002
 7.7707425E+001, 6.6937146E-001, 5.0564422E+002
 7.8002617E+001, 4.9703477E-001, 4.3525160E+002
 7.8303417E+001, 1.6923264E+000, 4.4771581E+002
 7.8600941E+001, 6.0705545E-001, 3.4897118E+002
 7.8901754E+001, 4.7161896E-001, 3.1576028E+002
 7.9205468E+001, 4.4511157E-001, 5.0536028E+002
 7.9504576E+001, 9.4968613E-001, 5.0365317E+002
 7.9805422E+001, 1.7826747E+000, 3.7538887E+002
 8.0103739E+001, 4.6088964E-001, 3.0167248E+002
 8.0402447E+001, 9.4642962E-001, 3.8863493E+002
 8.0706076E+001, 6.7714892E-001, 3.2253185E+002
 8.1006286E+001, 6.3168427E-001, 3.9310810E+002
 8.1304364E+001, 4.1243402E-001, 4.5705577E+002
 8.1600680E+001, 8.1025708E-001, 3.9582812E+002
 8.1900750E+001, 9.4334566E-001, 4.1245447E+002
 8.2202432E+001, 4.8831848E-001, 5.4541206E+002
 8.2506877E+001, 4.3881969E-001, 3.9085473E+002
 8.2800162E+001, 6.8668152E-001, 4.4470997E+002
 8.3105836E+001, 1.2096927E+000, 4.4425685E+002
 8.3402571E+001, 7.0730914E-001, 3.5741972E+002
 8.3701865E+001, 4.1558612E-001, 4.7819873E+002
 8.4003781E+001, 4.8326008E-001, 5.4796414E+002
 8.4306403E+001, 6.4958465E-001, 3.6947324E+002
 8.4605249E+001, 2.3087782E+000, 4.3225615E+002
 8.4907824E+001, 4.8558143E-001, 2.6868283E+002
 8.5203507E+001, 5.1317768E-001, 3.0852506E+002
 8.5504122E+001, 1.3617536E+000, 3.3894910E+002
 8.5805421E+001, 1.2682474E+000, 4.1420456E+002
 8.6101450E+001, 7.7513025E-001, 3.7528704E+002
 8.6402779E+001, 2.2603209E+000, 4.8206254E+002
 8.6702327E+001, 6.4824286E-001, 3.8476679E+002
 8.7000439E+001, 6.4722394E-001, 3.5160540E+002
 8.7302186E+001, 1.0687226E+000, 3.8442498E+002
 8.7600735E+001, 2.1214945E+000, 3.5758891E+002
 8.7903611E+001, 7.4575867E-001, 3.6586266E+002
 8.8206403E+001, 1.1928487E+000, 3.3342599E+002
 8.8506505E+001, 5.0598055E-001, 4.3336747E+002
 8.8801460E+001, 6.0530183E-001, 3.9604700E+002
 8.9105214E+001, 1.1073415E+000, 3.8619859E+002
 8.9402193E+001, 3.7663627E-001, 4.1419741E+002
 8.9705071E+001, 7.6385086E-001, 3.7154478E+002
 9.0006090E+001, 4.3107306E-001, 5.8662821E+002
 9.0301183E+001, 7.7693929E-001, 5.0478061E+002
 9.0601723E+001, 9.1302187E-001, 4.9174918E+002
 9.0904605E+001, 3.0342570E-001, 4.2134714E+002
 9.1201544E+001, 3.5711860E-001, 4.9758905E+002
 9.1501655E+001, 4.1847341E-001, 4.3675077E+002
 9.1800829E+001, 9.6422808E-001, 5.7260966E+002
 9.2103432E+001, 1.5269321E+000, 4.2089530E+002
 9.2406944E+001, 5.3296316E-001, 3.9459441E+002
 9.2703499E+001, 5.6545312E-001, 3.4292689E+002
 9.3002084E+001, 8.2176448E-001, 5.3201307E+002
 9.3301947E+001, 7.5898580E-001, 3.3470310E+002
 9.3600659E+001, 4.1544619E+000, 4.2952447E+002
 9.3905274E+001, 7.0272091E-001, 2.5184738E+002
 9.4202141E+001, 8.6773548E-001, 4.0323404E+002
 9.4501585E+001, 1.6174312E+000, 2.3166222E+002
 9.4806009E+001, 5.7735290E-001, 3.4405587E+002
 9.5101680E+001, 1.2574899E+000, 3.5020891E+002
 9.5402619E+001, 1.7379990E+000, 2.0988318E+002
 9.5708198E+001, 1.2311236E+000, 3.3054786E+002
 9.6006454E+001, 8.5251204E-001, 2.3055668E+002
 9.6303834E+001, 9.0511569E-001, 5.4892247E+002
 9.6604145E+001, 6.9580500E-001, 4.3900250E+002
 9.6901004E+001, 1.0973548E+000, 5.0564767E+002
 9.7206941E+001, 1.5919255E+000, 4.4926083E+002
 9.7506816E+001, 5.4549749E-001, 3.4218434E+002
 9.7800988E+001, 3.5379831E-001, 5.1003403E+002
 9.8101461E+001, 4.9426678E-001, 5.0043922E+002
 9.8406080E+001, 1.3206507E+000, 4.8152633E+002
 9.8704711E+001, 6.8521734E-001, 3.9588583E+002
 9.9000171E+001, 3.8710309E-001, 4.9084972E+002
 9.9307754E+001, 4.3080647E-001, 5.0389855E+002
 9.9604355E+001, 1.5962639E+000, 3.8608713E+002
 9.9902115E+001, 3.3280899E-001, 2.2220215E+002
 1.0020572E+002, 3.2459565E-001, 4.0346921E+002
 1.0050357E+002, 1.1506777E+000, 3.6073700E+002
 1.0080650E+002, 5.5202528E-001, 2.8594241E+002
 1.0110533E+002, 4.5212270E-001, 3.8720098E+002
 1.0140587E+002, 4.0337079E-001, 4.3679579E+002
 1.0170658E+002, 1.3959734E+000, 5.0565416E+002
 1.0200424E+002, 4.4828092E-001, 3.9189279E+002
 1.0230629E+002, 8.7551063E-001, 4.6630327E+002
 1.0260328E+002, 2.0846068E+000, 3.9562585E+002
 1.0290534E+002, 4.1606586E-001, 3.5701288E+002
 1.0320809E+002, 5.2363349E-001, 4.4628564E+002
 1.0350334E+002, 1.3578788E+000, 6.0384948E+002
 1.0380280E+002, 4.3539309E-001, 4.4701682E+002
 1.0410604E+002, 5.6766453E-001, 5.0297652E+002
 1.0440337E+002, 3.8507898E-001, 3.8213088E+002
 1.0470511E+002, 6.6881587E-001, 3.7695365E+002
 1.0500088E+002, 1.3035043E+000, 4.5639821E+002
 1.0530043E+002, 5.4226634E-001, 3.0968146E+002
 1.0560621E+002, 4.4616548E-001, 5.0381828E+002
 1.0590621E+002, 8.4244940E-001, 4.2170393E+002
 1.0620086E+002, 1.2648734E+000, 3.3167569E+002
 1.0650581E+002, 3.0556432E-001, 3.3252359E+002
 1.0680236E+002, 3.4922939E-001, 4.0021975E+002
 1.0710762E+002, 5.4409831E-001, 3.5155275E+002
 1.0740752E+002, 3.5306623E-001, 4.0130566E+002
 1.0770077E+002, 1.8762273E+000, 3.6748098E+002
 1.0800509E+002, 9.6847083E-001, 2.2352951E+002
 1.0830231E+002, 7.8487079E-001, 2.9336229E+002
 1.0860488E+002, 3.1533715E-001, 2.4456460E+002
 1.0890012E+002, 9.0999779E-001, 5.6392533E+002
 1.0920288E+002, 2.9801722E+000, 4.2280714E+002
 1.0950124E+002, 5.8839130E-001, 3.5074935E+002
 1.0980345E+002, 5.0125731E-001, 3.7154338E+002
 1.1010778E+002, 3.9600165E-001, 3.8200398E+002
 1.1040372E+002, 6.4491758E-001, 4.3728243E+002
 1.1070305E+002, 3.2652587E-001, 4.0566092E+002
 1.1100739E+002, 4.6436691E-001, 4.3131163E+002
 1.1130146E+002, 1.5964131E+000, 5.0395129E+002
 1.1160070E+002, 2.1289050E+000, 4.1508489E+002
 1.1190576E+002, 3.8706928E-001, 3.2690222E+002
 1.1220488E+002, 1.6164984E+000, 4.8244087E+002
 1.1250181E+002, 6.2037940E-001, 3.4085489E+002
 1.1280413E+002, 3.6285728E-001, 4.8718743E+002
 1.1310251E+002, 9.7208723E-001, 4.2359028E+002
 1.1340327E+002, 3.4090814E-001, 3.4769569E+002
 1.1370436E+002, 1.2081602E+000, 3.6260531E+002
 1.1400351E+002, 4.2367670E+000, 4.1905284E+002
 1.1430113E+002, 4.5399655E-001, 4.3642732E+002
 1.1460680E+002, 1.1325839E+000, 4.5704851E+002
 1.1490520E+002, 1.0455025E+000, 3.2608020E+002
 1.1520394E+002, 3.5106243E-001, 4.4740791E+002
 1.1550301E+002, 3.5507224E-001, 5.5023921E+002
 1.1580362E+002, 9.8049462E-001, 5.0444304E+002
 1.1610300E+002, 3.6689359E+000, 3.1779654E+002
 1.1640540E+002, 3.6644540E-001, 3.1159537E+002
 1.1670748E+002, 1.4127167E+000, 2.4443086E+002
 1.1700101E+002, 5.4025865E+000, 2.3371267E+002
 1.1730413E+002, 9.9230049E-001, 2.0211289E+002
 1.1760331E+002, 5.9211238E-001, 3.3495202E+002
 1.1790056E+002, 8.4217595E-001, 4.3552909E+002
 1.1820575E+002, 5.8529361E+000, 3.1958091E+002
 1.1850477E+002, 4.6655038E-001, 2.5955946E+002
 1.1880142E+002, 4.7010587E-001, 4.0006386E+002
 1.1910582E+002, 5.5947826E-001, 6.0643992E+002
 1.1940655E+002, 6.5262680E-001, 4.5600122E+002
 1.1970343E+002, 6.7144299E-001, 2.6922209E+002
 1.2000544E+002, 5.4785698E-001, 4.8843237E+002
 1.2030129E+002, 1.0891476E+000, 3.6960152E+002
 1.2060769E+002, 1.0036069E+000, 3.0881511E+002
 1.2090228E+002, 3.7324157E-001, 4.1674011E+002
 1.2120544E+002, 5.9149473E-001, 4.9697581E+002
 1.2150054E+002, 6.3433498E-001, 5.3559792E+002
 1.2180522E+002, 6.7369812E-001, 6.5450634E+002
 1.2210657E+002, 6.0965306E-001, 3.9262124E+002
 1.2240483E+002, 5.3313513E-001, 4.3624124E+002
 1.2270530E+002, 5.3546939E-001, 3.0772484E+002
 1.2300548E+002, 5.1955435E-001, 3.3386578E+002
 1.2330165E+002, 1.1952909E+000, 3.9752136E+002
 1.2360533E+002, 1.0437235E+000, 3.7564448E+002
 1.2390552E+002, 3.8773377E-001, 3.6061764E+002
 1.2420447E+002, 3.3895788E-001, 3.5973319E+002
 1.2450374E+002, 3.9744090E-001, 5.8657128E+002
 1.2480159E+002, 4.1562773E-001, 4.1220297E+002
 1.2510141E+002, 4.7769210E-001, 5.9077235E+002
 1.2540299E+002, 4.7753211E-001, 5.1354501E+002
 1.2570441E+002, 9.0469680E-001, 4.4431669E+002
 1.2600020E+002, 1.1007487E+000, 3.4644412E+002
 1.2630511E+002, 3.4409689E-001, 2.8116568E+002
 1.2660013E+002, 4.1185629E-001, 4.9355466E+002
 1.2690298E+002, 2.1856701E+000, 3.4767828E+002
 1.2720599E+002, 9.2112925E+000, 3.8948761E+002
 1.2750433E+002, 5.4274892E-001, 3.3412754E+002
