s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s,Pa
Time,HRR,HRR_OX,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_PROPANE,MLR_PRODUCTS,ZONE_1
 1.0150587E+002, 9.5230184E+002, 0.0000000E+000,-3.4162583E+002,-5.1305500E+002,-7.4061993E+001,-4.2347798E-002,-1.5030952E-005, 0.0000000E+000, 2.0745848E+001, 2.3516651E+001, 0.0000000E+000, 2.0901895E-002, 0.0000000E+000,-5.9597697E-001
 1.0200701E+002, 8.4111391E+002, 0.0000000E+000,-3.1127368E+002,-4.9993757E+002,-7.2078170E+001,-4.1623506E-002,-1.9135976E-007, 0.0000000E+000,-4.1384289E+001,-4.2217130E+001, 0.0000000E+000, 2.0901895E-002, 0.0000000E+000,-5.9597603E-001
 1.0250822E+002, 9.2663207E+002, 0.0000000E+000,-3.2999440E+002,-5.2327265E+002,-7.0337652E+001,-4.2690548E-002,-6.3085519E-006, 0.0000000E+000, 2.2798704E+000, 2.9846694E+000, 0.0000000E+000, 2.0901895E-002, 0.0000000E+000,-5.9622236E-001
 1.0300337E+002, 9.1859511E+002, 0.0000000E+000,-3.2929374E+002,-4.9595811E+002,-7.0464234E+001,-4.1132498E-002, 2.1748684E-007, 0.0000000E+000, 2.2329138E+001, 2.2837893E+001, 0.0000000E+000, 2.0901895E-002, 0.0000000E+000,-5.9617279E-001
 1.0350887E+002, 8.8085240E+002, 0.0000000E+000,-3.2161044E+002,-5.1689080E+002,-7.2205825E+001,-4.0480284E-002,-7.5537805E-006, 0.0000000E+000,-2.9275676E+001,-2.9895150E+001, 0.0000000E+000, 2.0901895E-002, 0.0000000E+000,-5.9644851E-001
 1.0400961E+002, 8.7743044E+002, 0.0000000E+000,-3.1925785E+002,-5.0075243E+002,-7.1798012E+001,-4.1204209E-002, 3.6274536E-006, 0.0000000E+000,-1.6703283E+001,-1.4419048E+001, 0.0000000E+000, 2.0901895E-002, 0.0000000E+000,-5.9634690E-001
 1.0450589E+002, 9.0858108E+002, 0.0000000E+000,-3.1680902E+002,-4.8339880E+002,-6.8400884E+001,-4.1939105E-002, 1.9747648E-005, 0.0000000E+000, 4.2175402E+001, 3.9930457E+001, 0.0000000E+000, 2.0901895E-002, 0.0000000E+000,-5.9572231E-001
 1.0500861E+002, 9.8137283E+002, 0.0000000E+000,-3.4177316E+002,-4.8898824E+002,-6.8571620E+001,-4.3649733E-002,-1.4339912E-006, 0.0000000E+000, 8.1444746E+001, 8.1996160E+001, 0.0000000E+000, 2.0901895E-002, 0.0000000E+000,-5.9575023E-001
 1.0550632E+002, 8.0097635E+002, 0.0000000E+000,-2.8733645E+002,-4.8994643E+002,-6.5566642E+001,-4.1383079E-002,-3.9518737E-006, 0.0000000E+000,-4.2420412E+001,-4.1914562E+001, 0.0000000E+000, 2.0901895E-002, 0.0000000E+000,-5.9590598E-001
 1.0600442E+002, 9.2348299E+002, 0.0000000E+000,-3.3041513E+002,-4.9786443E+002,-6.3192025E+001,-4.1698038E-002, 1.5264106E-005, 0.0000000E+000, 3.0774621E+001, 3.1969722E+001, 0.0000000E+000, 2.0901895E-002, 0.0000000E+000,-5.9542859E-001
 1.0650095E+002, 8.5571539E+002, 0.0000000E+000,-2.9445568E+002,-4.9090946E+002,-6.3668924E+001,-4.2194762E-002,-2.2488445E-005, 0.0000000E+000, 2.9904644E+000, 6.6391093E+000, 0.0000000E+000, 2.0901895E-002, 0.0000000E+000,-5.9612256E-001
 1.0700002E+002, 9.2810917E+002, 0.0000000E+000,-3.1888187E+002,-4.8646307E+002,-6.6944749E+001,-4.1022580E-002, 1.2457822E-005, 0.0000000E+000, 5.8267727E+001, 5.5778473E+001, 0.0000000E+000, 2.0901895E-002, 0.0000000E+000,-5.9568660E-001
 1.0750831E+002, 8.8679236E+002, 0.0000000E+000,-3.2148816E+002,-4.7656042E+002,-6.9362848E+001,-4.1132832E-002,-3.5096519E-005, 0.0000000E+000, 1.6261342E+001, 1.9339771E+001, 0.0000000E+000, 2.0901895E-002, 0.0000000E+000,-5.9680747E-001
 1.0800652E+002, 9.6233486E+002, 0.0000000E+000,-3.3325894E+002,-4.6747165E+002,-7.3589267E+001,-4.1890111E-002, 1.2309616E-005, 0.0000000E+000, 8.9938859E+001, 8.7973121E+001, 0.0000000E+000, 2.0901895E-002, 0.0000000E+000,-5.9644975E-001
 1.0850726E+002, 8.4165475E+002, 0.0000000E+000,-3.1616150E+002,-4.7261843E+002,-7.1269194E+001,-4.1017135E-002, 1.3989795E-005, 0.0000000E+000,-1.8650615E+001,-1.8435382E+001, 0.0000000E+000, 2.0901895E-002, 0.0000000E+000,-5.9595204E-001
 1.0900829E+002, 9.3292266E+002, 0.0000000E+000,-3.3574001E+002,-4.8276809E+002,-7.0054700E+001,-4.2954306E-002, 4.4584614E-006, 0.0000000E+000, 4.3464475E+001, 4.4316918E+001, 0.0000000E+000, 2.0901895E-002, 0.0000000E+000,-5.9585505E-001
 1.0950715E+002, 8.6331279E+002, 0.0000000E+000,-3.2313464E+002,-4.7969103E+002,-7.1988269E+001,-4.3235211E-002,-4.4448942E-006, 0.0000000E+000,-1.1972522E+001,-1.1544384E+001, 0.0000000E+000, 2.0901895E-002, 0.0000000E+000,-5.9596778E-001
 1.1000264E+002, 9.3413838E+002, 0.0000000E+000,-3.3678601E+002,-5.0959596E+002,-7.1101876E+001,-4.3810343E-002, 2.9402426E-006, 0.0000000E+000, 1.5929535E+001, 1.6610729E+001, 0.0000000E+000, 2.0901895E-002, 0.0000000E+000,-5.9591700E-001
 1.1050707E+002, 8.7910178E+002, 0.0000000E+000,-3.3506077E+002,-4.8424569E+002,-7.4493251E+001,-4.1993897E-002,-1.5410780E-005, 0.0000000E+000,-1.5333942E+001,-1.4739936E+001, 0.0000000E+000, 2.0901895E-002, 0.0000000E+000,-5.9637377E-001
 1.1100101E+002, 8.8898445E+002, 0.0000000E+000,-3.2701501E+002,-4.8054143E+002,-7.6003305E+001,-4.0677518E-002, 9.0959380E-006, 0.0000000E+000, 7.5599156E+000, 5.3840379E+000, 0.0000000E+000, 2.0901895E-002, 0.0000000E+000,-5.9608682E-001
 1.1150356E+002, 9.4988765E+002, 0.0000000E+000,-3.5218430E+002,-5.0320154E+002,-7.3187216E+001,-4.2402867E-002,-4.9805278E-006, 0.0000000E+000, 1.8901007E+001, 2.1272182E+001, 0.0000000E+000, 2.0901895E-002, 0.0000000E+000,-5.9616657E-001
 1.1200697E+002, 8.7026495E+002, 0.0000000E+000,-3.3521932E+002,-4.8332121E+002,-7.4700363E+001,-4.3207824E-002, 1.6777599E-006, 0.0000000E+000,-2.0876279E+001,-2.3019142E+001, 0.0000000E+000, 2.0901895E-002, 0.0000000E+000,-5.9616432E-001
 1.1250722E+002, 8.5152942E+002, 0.0000000E+000,-3.3880423E+002,-4.5972641E+002,-7.9652937E+001,-4.2972806E-002,-2.8641294E-005, 0.0000000E+000,-2.9516021E+001,-2.6697166E+001, 0.0000000E+000, 2.0901895E-002, 0.0000000E+000,-5.9710868E-001
 1.1300715E+002, 9.2257884E+002, 0.0000000E+000,-3.4530156E+002,-4.7384993E+002,-7.8690378E+001,-4.2493267E-002, 2.3475917E-005, 0.0000000E+000, 2.6780646E+001, 2.4694496E+001, 0.0000000E+000, 2.0901895E-002, 0.0000000E+000,-5.9636735E-001
 1.1350690E+002, 9.1789377E+002, 0.0000000E+000,-3.4966270E+002,-4.9801512E+002,-7.6179790E+001,-4.2670705E-002,-7.7686904E-007, 0.0000000E+000,-6.7663392E+000,-6.0065175E+000, 0.0000000E+000, 2.0901895E-002, 0.0000000E+000,-5.9635581E-001
 1.1400517E+002, 9.2342440E+002, 0.0000000E+000,-3.5002097E+002,-5.0602916E+002,-7.6115876E+001,-4.3456455E-002,-3.7046136E-007, 0.0000000E+000,-9.7659100E+000,-8.7850678E+000, 0.0000000E+000, 2.0901895E-002, 0.0000000E+000,-5.9637940E-001
 1.1450040E+002, 8.9739572E+002, 0.0000000E+000,-3.4109027E+002,-5.2998370E+002,-7.6870912E+001,-4.2810777E-002, 9.6810635E-007, 0.0000000E+000,-5.0397205E+001,-5.0591966E+001, 0.0000000E+000, 2.0901895E-002, 0.0000000E+000,-5.9635244E-001
 1.1500547E+002, 8.6275661E+002, 0.0000000E+000,-3.3526341E+002,-5.1718671E+002,-7.5356992E+001,-4.0921378E-002, 1.1855900E-005, 0.0000000E+000,-6.4344415E+001,-6.5091410E+001, 0.0000000E+000, 2.0901895E-002, 0.0000000E+000,-5.9593933E-001
 1.1550109E+002, 9.6691294E+002, 0.0000000E+000,-3.6008312E+002,-5.1451408E+002,-7.4871434E+001,-4.3305687E-002, 2.5512219E-006, 0.0000000E+000, 1.5498240E+001, 1.7400997E+001, 0.0000000E+000, 2.0901895E-002, 0.0000000E+000,-5.9589000E-001
 1.1600291E+002, 9.0813708E+002, 0.0000000E+000,-3.3688247E+002,-5.0962515E+002,-7.2004416E+001,-4.3679742E-002,-1.8447885E-005, 0.0000000E+000,-1.1408390E+001,-1.0418657E+001, 0.0000000E+000, 2.0901895E-002, 0.0000000E+000,-5.9655190E-001
 1.1650222E+002, 8.5303477E+002, 0.0000000E+000,-3.1654014E+002,-4.8890323E+002,-6.9140958E+001,-4.4026502E-002,-1.1380175E-005, 0.0000000E+000,-2.1652586E+001,-2.1593599E+001, 0.0000000E+000, 2.0901895E-002, 0.0000000E+000,-5.9683216E-001
